# Vera source catalog — brick=1877p122 band=r
# Author: MaxKweeger | Software: vera / Claude Sonnet (Anthropic)
# Target journal: Journal of Open Source Software (joss.theoj.org)
ra,dec,x_image,y_image,flux_iso,flux_auto,a_image,b_image,theta,ellip,kron_rad,npix,flags
187.8382679,12.1266073,1250.2607,104.0277,57236.433594,148402.671875,717.938,1.763,-0.18,0.9975,3.500,13190,1
187.7360739,12.1270453,2654.4533,110.0459,39245.562500,125358.773438,606.414,1.668,-0.25,0.9972,3.500,10072,1
187.7915881,12.3797882,1891.6627,3582.8489,19892.312500,22013.935547,1043.537,4.535,-0.01,0.9957,3.500,66322,1
187.7998447,12.3725077,1778.2131,3482.8122,17236.931641,19361.945312,1060.879,6.624,0.00,0.9938,3.500,104260,1
187.7970980,12.3652996,1815.9531,3383.7694,11706.145508,13737.184570,1023.011,7.117,0.01,0.9930,3.500,97380,1
187.8590331,12.2770018,964.9375,2170.5176,1325.082031,6716.200195,491.227,1.386,-0.03,0.9972,3.500,9259,0
187.8180236,12.3578365,1528.4257,3281.2235,4051.137451,6031.295410,873.905,5.426,-0.01,0.9938,3.500,58432,1
187.7980863,12.3432567,1802.3743,3080.8898,3687.765625,4838.670410,1035.722,6.280,-0.02,0.9939,3.500,84475,1
187.7382401,12.3360768,2624.6875,2982.2350,557.754333,2700.178467,561.391,4.810,-0.08,0.9914,3.500,23829,1
187.7277545,12.1263150,2768.7653,100.0116,611.425110,2568.881348,16.507,0.500,-0.05,0.9697,3.500,69,0
187.7935227,12.1195045,1865.0804,6.4316,227.906250,2341.393066,311.844,1.932,0.00,0.9938,3.500,7513,1
187.8620085,12.1275514,924.0542,116.9995,553.668701,2173.504883,14.109,0.500,0.00,0.9646,3.500,145,0
187.8546971,12.1275514,1024.5149,116.9997,556.943359,2123.299072,14.393,0.500,-0.00,0.9653,3.500,146,0
187.8692552,12.1275514,824.4801,116.9998,556.856567,2111.641357,14.393,0.500,0.00,0.9653,3.500,146,0
187.6813670,12.3577706,3406.1510,3280.3178,491.584656,2001.634399,112.271,5.006,-0.18,0.9554,3.500,7133,1
187.8234592,12.3507116,1453.7389,3183.3229,1629.481323,1965.620483,848.668,3.804,-0.01,0.9955,3.500,38738,1
187.8799879,12.3361191,677.0090,2982.8156,398.861298,1754.807861,391.375,4.404,-0.01,0.9887,3.500,17723,1
187.8001922,12.3286921,1773.4375,2880.7652,889.072754,1738.720459,1044.399,3.152,-0.01,0.9970,3.500,36188,1
187.7967523,12.2769141,1820.7040,2169.3116,352.265289,1638.247070,48.769,0.864,-0.02,0.9823,3.500,722,0
187.8477850,12.1275514,1119.4905,116.9997,449.042999,1485.582642,11.498,0.500,0.00,0.9565,3.500,116,0
187.8010691,12.3331635,1761.3890,2942.2040,1074.282837,1325.901855,1033.460,1.250,-0.01,0.9988,3.500,20722,1
187.7490336,12.2697552,2476.3806,2070.9452,475.506104,1310.840942,12.160,0.500,0.00,0.9589,3.500,210,0
187.7563126,12.2697554,2376.3637,2070.9482,470.302673,1274.565063,12.222,0.500,0.00,0.9591,3.500,212,0
187.8768925,12.1275514,719.5406,116.9998,445.786530,1264.687988,11.505,0.500,-0.00,0.9565,3.500,116,0
187.7729681,12.1267249,2147.5097,105.6438,306.001068,1175.537598,5.090,0.595,0.41,0.8832,3.500,62,0
187.7416878,12.2697549,2577.3145,2070.9413,456.164642,1159.095703,11.679,0.500,0.01,0.9572,3.500,203,0
